# summary of local and remote events executed
# LP, local, remote, total
"59396", 593, 2012, 2605
"15625", 1, 2, 3
"39789", 392, 1192, 1584
"5947", 506, 1687, 2193
"34291", 505, 1474, 1979
"41024", 545, 1487, 2032
"54763", 514, 1595, 2109
"43877", 499, 1682, 2181
"54859", 554, 1689, 2243
"61229", 1, 0, 1
"18011", 1, 5, 6
"58571", 1, 0, 1
"10906", 1, 0, 1
"32344", 1, 0, 1
"28632", 527, 1573, 2100
"45279", 1, 2, 3
"59617", 1, 5, 6
"31514", 1, 28, 29
"62271", 1, 19, 20
"51429", 1, 0, 1
"63981", 534, 1760, 2294
"53672", 517, 1682, 2199
"37625", 1, 13, 14
"15112", 1, 1, 2
"11509", 1, 28, 29
"48687", 568, 1668, 2236
"48671", 561, 1649, 2210
"4505", 499, 1494, 1993
"21239", 1, 0, 1
"15497", 1, 6, 7
"640", 1, 0, 1
"4953", 463, 1394, 1857
"30187", 545, 1605, 2150
"13835", 545, 1527, 2072
"15262", 402, 1123, 1525
"24318", 1, 5, 6
"52064", 1, 10, 11
"8", 1, 1, 2
"28519", 471, 1452, 1923
"35685", 439, 1330, 1769
"20091", 1, 0, 1
"13050", 1, 4, 5
"50242", 622, 2017, 2639
"64721", 1, 0, 1
"61583", 1, 1, 2
"46955", 481, 1516, 1997
"24299", 1, 1, 2
"22124", 1, 1, 2
"9651", 571, 1716, 2287
"49883", 1, 1, 2
"50848", 1, 4, 5
"13194", 563, 1869, 2432
"24199", 1, 9, 10
"44438", 550, 1825, 2375
"26515", 528, 1687, 2215
"53970", 1, 8, 9
"28664", 545, 1606, 2151
"15539", 1, 0, 1
"7583", 546, 1633, 2179
"12264", 622, 2071, 2693
"48416", 1, 11, 12
"48969", 1, 44, 45
"55227", 453, 1256, 1709
"15374", 440, 1180, 1620
"61993", 600, 1963, 2563
"63337", 1, 0, 1
"25009", 525, 1646, 2171
"35411", 1, 6, 7
"25325", 1, 7, 8
"26264", 1, 6, 7
"22168", 1, 0, 1
"3334", 399238, 1703, 400941
"31347", 1, 5, 6
"24079", 593, 1736, 2329
"46474", 388, 1106, 1494
"14652", 502, 1623, 2125
"42818", 1, 15, 16
"15072", 1, 0, 1
"50393", 1, 0, 1
"16272", 471, 1441, 1912
"39773", 388, 1180, 1568
"7775", 1, 5, 6
"44243", 1, 0, 1
"34623", 1, 1, 2
"31197", 511, 1453, 1964
"30443", 1, 0, 1
"21434", 614, 2113, 2727
"57905", 537, 1646, 2183
"42714", 1, 9, 10
"49568", 452, 1360, 1812
"2404", 589, 2085, 2674
"11751", 660, 2256, 2916
"25806", 1, 8, 9
"35070", 1, 0, 1
"49584", 461, 1376, 1837
"35894", 538, 1516, 2054
"32964", 1, 1, 2
"6541", 553, 1830, 2383
"7615", 567, 1677, 2244
"26170", 1, 8, 9
"58553", 1, 0, 1
"47795", 1, 0, 1
"29952", 1, 0, 1
"46260", 1, 6, 7
"31068", 453, 1355, 1808
"37417", 585, 1648, 2233
"22428", 488, 1450, 1938
"41633", 1, 5, 6
"11077", 460, 1478, 1938
"20246", 1, 7, 8
"14123", 520, 1933, 2453
"52852", 1, 0, 1
"17670", 1, 12, 13
"55010", 1, 7, 8
"63765", 1, 3, 4
"9635", 566, 1695, 2261
"31428", 1, 1, 2
"18885", 487, 1379, 1866
"2082", 1, 1, 2
"27342", 1, 0, 1
"18933", 502, 1415, 1917
"8144", 586, 1822, 2408
"3398", 471, 1489, 1960
"39853", 419, 1234, 1653
"26660", 615, 1897, 2512
"51392", 1, 10, 11
"30139", 519, 1556, 2075
"33681", 472, 1460, 1932
"52023", 1, 0, 1
"39421", 648, 2254, 2902
"33388", 1, 0, 1
"31947", 1, 0, 1
"29016", 380, 1071, 1451
"61589", 1, 0, 1
"60046", 1, 0, 1
"1089", 1, 10, 11
"48735", 1, 3, 4
"9089", 546, 1808, 2354
"49424", 1, 29, 30
"38137", 1, 0, 1
"56398", 610, 1859, 2469
"38234", 452, 1363, 1815
"40135", 1, 0, 1
"10564", 491, 1625, 2116
"57107", 1, 9, 10
"40087", 1, 1, 2
"12200", 584, 1985, 2569
"32400", 1, 6, 7
"4330", 1, 0, 1
"59973", 558, 1641, 2199
"19095", 1, 1, 2
"7599", 557, 1655, 2212
"33088", 352327, 1489, 353816
"24732", 1, 0, 1
"62009", 608, 1986, 2594
"4489", 489, 1477, 1966
"35204", 461, 1367, 1828
"28567", 497, 1503, 2000
"11270", 563, 1690, 2253
"1084", 1, 3, 4
"43941", 532, 1763, 2295
"24399", 502, 1612, 2114
"39609", 1, 6, 7
"22223", 1, 4, 5
"59941", 543, 1593, 2136
"14388", 1, 10, 11
"54475", 1, 0, 1
"35252", 482, 1408, 1890
"26411", 1, 0, 1
"2782", 1, 1, 2
"13414", 1, 3, 4
"41621", 1, 3, 4
"32354", 1, 1, 2
"3350", 444, 1437, 1881
"60422", 479, 1308, 1787
"24847", 1, 28, 29
"32800", 518, 1442, 1960
"59015", 1, 5, 6
"29341", 1, 2, 3
"36727", 458, 1457, 1915
"7647", 585, 1710, 2295
"21075", 1, 5, 6
"41567", 1, 0, 1
"41563", 1, 1, 2
"22476", 506, 1487, 1993
"21418", 601, 2093, 2694
"52775", 516, 1448, 1964
"4937", 453, 1372, 1825
"13395", 1, 9, 10
"29080", 404, 1110, 1514
"2549", 688, 2343, 3031
"15726", 566, 2065, 2631
"9009", 500, 1697, 2197
"11932", 1, 0, 1
"46220", 1, 3, 4
"45767", 1, 2, 3
"8799", 1, 1, 2
"46603", 446, 1194, 1640
"38121", 1, 2, 3
"56013", 1, 0, 1
"3217", 1, 12, 13
"8250", 1, 6, 7
"40717", 1, 1, 2
"26531", 541, 1706, 2247
"22331", 440, 1348, 1788
"16817", 463, 1259, 1722
"34009", 1, 0, 1
"9453", 1, 1, 2
"699", 1, 17, 18
"47677", 455, 1172, 1627
"43197", 1, 8, 9
"12367", 1, 0, 1
"1843", 399, 1099, 1498
"39453", 670, 2311, 2981
"5547", 524, 1561, 2085
"35781", 484, 1413, 1897
"28535", 479, 1466, 1945
"32255", 624, 2018, 2642
"57111", 1, 0, 1
